,time,SOA,O2C
0,0.0017,0.0,inf
1,0.0033,0.0,inf
2,0.005,0.0,inf
3,0.0067,0.0,inf
4,0.0083,0.0,inf
5,0.01,0.0,inf
6,0.0117,0.0,inf
7,0.0133,1.06745e-09,inf
8,0.015,6.494489999999999e-09,2.7523
9,0.0167,9.552719999999999e-08,6.6727
10,0.0183,2.4488299999999997e-06,11.622
11,0.02,3.1318899999999996e-05,5.7238
12,0.0217,0.00011913100000000001,1.6525
13,0.0233,0.000277708,0.9885
14,0.025,0.000528871,0.79528
15,0.0267,0.00090857,0.70945
16,0.0283,0.00146835,0.66159
17,0.03,0.00227884,0.6308600000000001
18,0.0317,0.00343306,0.60887
19,0.0333,0.00504821,0.59154
20,0.035,0.00726459,0.5766899999999999
21,0.0367,0.010241,0.56319
22,0.0383,0.0141474,0.55051
23,0.04,0.0191562,0.5384800000000001
24,0.0417,0.025434000000000002,0.5271399999999999
25,0.0433,0.03313630000000001,0.51655
26,0.045,0.042404199999999996,0.50679
27,0.0467,0.0533634,0.4979
28,0.0483,0.0661251,0.48986
29,0.05,0.0807873,0.48263
30,0.0517,0.0974365,0.47615
31,0.0533,0.116149,0.47034
32,0.055,0.136994,0.46513999999999994
33,0.0567,0.16003,0.46046000000000004
34,0.0583,0.18531199999999998,0.45626000000000005
35,0.06,0.21288800000000002,0.45246000000000003
36,0.0617,0.242799,0.44902
37,0.0633,0.27508499999999997,0.44588999999999995
38,0.065,0.309776,0.44304
39,0.0667,0.346903,0.44043000000000004
40,0.0683,0.38649,0.43803000000000003
41,0.07,0.428559,0.43582
42,0.0717,0.473125,0.43378
43,0.0733,0.520205,0.43188999999999994
44,0.075,0.569808,0.43013
45,0.0767,0.621943,0.42849
46,0.0783,0.676614,0.42696000000000006
47,0.08,0.733825,0.42553
48,0.0817,0.793573,0.42418999999999996
49,0.0833,0.855857,0.42291999999999996
50,0.085,0.9206690000000001,0.42173
51,0.0867,0.9880030000000001,0.4206
52,0.0883,1.05785,0.41953999999999997
53,0.09,1.13019,0.41853
54,0.0917,1.2050100000000001,0.41757
55,0.0933,1.28229,0.41665
56,0.095,1.36202,0.41578000000000004
