,time,SOA,O2C
0,0.0017,0.0,inf
1,0.0033,0.0,inf
2,0.005,0.0,inf
3,0.0067,0.0,inf
4,0.0083,0.0,inf
5,0.01,0.0,inf
6,0.0117,0.0,inf
7,0.0133,1.26331e-09,inf
8,0.015,8.996040000000001e-09,3.2409
9,0.0167,1.51239e-07,7.6704
10,0.0183,4.01201e-06,12.078
11,0.02,4.1857700000000004e-05,4.6699
12,0.0217,0.000144656,1.4974
13,0.0233,0.00032780300000000005,0.9590799999999999
14,0.025,0.0006205690000000001,0.78918
15,0.0267,0.00106962,0.7105600000000001
16,0.0283,0.00174223,0.66567
17,0.03,0.00273089,0.63615
18,0.0317,0.00415675,0.61431
19,0.0333,0.00616978,0.59635
20,0.035,0.00894417,0.58036
21,0.0367,0.012669499999999998,0.56545
22,0.0383,0.0175393,0.5513600000000001
23,0.04,0.0237407,0.5381
24,0.0417,0.031447,0.52579
25,0.0433,0.040813300000000004,0.51454
26,0.045,0.0519766,0.50439
27,0.0467,0.0650562,0.4953
28,0.0483,0.0801565,0.48721000000000003
29,0.05,0.0973688,0.48002
30,0.0517,0.116773,0.47365
31,0.0533,0.138441,0.46798
32,0.055,0.162436,0.46293
33,0.0567,0.18881199999999998,0.45842
34,0.0583,0.217621,0.45436000000000004
35,0.06,0.24890700000000002,0.45071000000000006
36,0.0617,0.28270700000000004,0.44741000000000003
37,0.0633,0.319058,0.44442
38,0.065,0.35798800000000003,0.44168
39,0.0667,0.399523,0.43918
40,0.0683,0.44368500000000005,0.43688999999999995
41,0.07,0.490493,0.43477
42,0.0717,0.53996,0.43282
43,0.0733,0.5920989999999999,0.43101000000000006
44,0.075,0.646917,0.42932
45,0.0767,0.7044189999999999,0.42775
46,0.0783,0.764608,0.42628
47,0.08,0.827483,0.4249
48,0.0817,0.8930389999999999,0.42361000000000004
49,0.0833,0.9612709999999999,0.42239
50,0.085,1.03217,0.42123999999999995
51,0.0867,1.10572,0.42016000000000003
52,0.0883,1.18192,0.41913
53,0.09,1.26073,0.41815
54,0.0917,1.34215,0.41723000000000005
55,0.0933,1.42616,0.41634
56,0.095,1.51272,0.4155
